Symbol,Name,Asset Type,Total Score (%),Current Ratio (Value),Current Ratio (Strength %),Short Ratio (Value),Short Ratio (Strength %),Debt to Equity (Value),Debt to Equity (Strength %),Dividend Yield (Value),Dividend Yield (Strength %),EBITDA Margin (Value),EBITDA Margin (Strength %),EV/EBITDA (Value),EV/EBITDA (Strength %),Forward P/E Ratio (Value),Forward P/E Ratio (Strength %),Insider Ownership (Value),Insider Ownership (Strength %),Institutional Ownership (Value),Institutional Ownership (Strength %),Trailing P/E Ratio (Value),Trailing P/E Ratio (Strength %),PEG Ratio (Value),PEG Ratio (Strength %),Price to Book (Value),Price to Book (Strength %),Profit Margin (Value),Profit Margin (Strength %),Analyst Recommendation (Value),Analyst Recommendation (Strength %),Return on Equity (Value),Return on Equity (Strength %),Revenue Growth (Value),Revenue Growth (Strength %),Short % of Float (Value),Short % of Float (Strength %)
EW,Edwards Lifesciences Corporation,STOCK,54.51,N/A,N/A,2.05x,92,6.82x,77,N/A,N/A,30.17%,99,23.64x,2,24.84x,56,0.17%,33,92.88%,99,46.11x,0,2.16x,5,4.69x,8,17.39%,70,Buy (1.70),83,N/A,N/A,16.70%,97,1.84%,95
EXC,Exelon Corporation,STOCK,51.24,0.92x,9,5.70x,30,174.49x,65,3.61%,79,33.56%,74,11.95x,86,15.32x,90,0.07%,33,92.80%,99,17.07x,93,2.86x,0,1.65x,88,11.41%,46,Hold (2.82),35,9.94%,27,-1.10%,14,4.77%,84
EXE,Expand Energy Corporation,STOCK,67.36,1.00x,13,1.49x,95,27.50x,93,3.31%,72,48.24%,100,4.92x,95,10.19x,65,0.30%,34,93.94%,99,12.72x,65,7.64x,0,1.24x,93,15.63%,63,Strong Buy (1.44),89,10.07%,28,38.30%,100,3.01%,92
EXPD,"Expeditors International of Washington, Inc.",STOCK,47.43,1.81x,88,4.19x,62,24.20x,91,1.04%,15,10.02%,5,17.16x,53,22.91x,66,0.60%,35,101.65%,99,24.89x,78,3.80x,0,8.42x,0,7.32%,29,Hold (3.31),17,35.43%,100,-3.30%,8,3.75%,90
EXPE,"Expedia Group, Inc.",STOCK,66.66,0.73x,4,3.82x,70,254.69x,0,0.69%,11,15.62%,22,13.94x,80,10.59x,96,1.24%,39,102.89%,99,25.00x,78,0.89x,95,23.39x,0,8.78%,35,Buy (2.19),65,48.67%,100,11.40%,87,6.84%,68
EXR,Extra Space Storage Inc.,STOCK,42.93,0.76x,4,4.28x,60,98.68x,72,4.64%,93,65.83%,100,19.55x,31,29.11x,34,0.94%,37,103.23%,99,30.40x,0,6.13x,0,2.19x,36,28.26%,100,Buy (2.38),56,7.01%,10,4.60%,47,3.47%,91
F,Ford Motor Company,STOCK,34.00,1.07x,17,0.00x,99,460.64x,0,4.80%,94,2.88%,1,34.70x,0,6.72x,98,0.28%,34,67.98%,85,N/A,N/A,8.48x,0,1.39x,92,-4.37%,0,Hold (2.68),41,-20.19%,0,-4.80%,5,0.00%,98
FANG,"Diamondback Energy, Inc.",STOCK,41.75,0.42x,1,2.45x,89,33.78x,96,2.14%,40,71.40%,100,7.43x,71,11.44x,42,30.65%,29,65.39%,82,34.22x,0,52.08x,0,1.51x,90,11.64%,47,Buy (1.52),87,3.74%,3,-9.40%,1,4.28%,87
FAST,Fastenal Company,STOCK,51.45,4.39x,100,2.84x,85,11.17x,81,2.03%,37,22.37%,67,27.60x,2,33.17x,18,0.17%,33,88.11%,98,40.07x,22,3.22x,0,13.03x,0,15.39%,62,Hold (2.82),35,33.84%,100,12.40%,90,2.41%,94
FCX,Freeport-McMoRan Inc.,STOCK,59.10,2.39x,99,1.66x,94,33.01x,96,0.99%,5,35.14%,95,11.14x,40,16.24x,89,0.70%,36,88.91%,98,32.05x,0,3.86x,0,4.35x,12,10.34%,41,Buy (1.68),83,15.63%,77,8.80%,75,1.97%,95
FDS,FactSet Research Systems Inc.,STOCK,65.72,1.43x,54,4.31x,60,72.97x,93,1.95%,34,37.91%,99,10.41x,94,11.60x,95,0.46%,35,104.50%,100,14.49x,41,1.21x,70,3.88x,2,24.48%,98,Hold (3.17),21,28.08%,100,7.10%,65,15.03%,5
FDX,FedEx Corporation,STOCK,69.07,1.47x,59,1.62x,94,140.99x,32,1.50%,24,12.57%,10,10.93x,93,17.35x,86,7.45%,75,80.26%,95,20.70x,88,1.37x,54,3.11x,46,4.88%,20,Buy (1.89),77,15.87%,79,8.30%,73,1.38%,96
FE,FirstEnergy Corp.,STOCK,61.20,0.56x,2,5.86x,27,192.75x,51,3.76%,82,33.11%,71,11.51x,89,16.78x,87,0.14%,33,95.11%,99,28.09x,68,1.51x,40,2.28x,74,6.84%,27,Buy (2.24),63,9.20%,21,20.70%,99,5.57%,79
FER,Ferrovial SE,STOCK,28.86,1.13x,21,2.65x,87,140.01x,32,1.54%,24,15.14%,19,39.15x,0,46.12x,1,36.22%,11,37.28%,22,47.69x,7,5.58x,0,7.05x,0,9.22%,37,N/A,N/A,14.32%,67,5.70%,55,0.67%,97
FFIV,"F5, Inc.",STOCK,72.45,1.55x,68,2.26x,91,7.57x,78,N/A,N/A,28.10%,54,17.99x,92,17.81x,97,0.52%,35,109.53%,100,24.63x,95,2.01x,9,4.79x,97,22.45%,90,Hold (2.69),41,20.84%,96,7.30%,66,4.08%,88
FICO,Fair Isaac Corporation,STOCK,80.30,0.93x,9,4.02x,66,N/A,N/A,N/A,N/A,48.75%,99,26.95x,72,19.28x,96,2.73%,47,91.12%,98,37.59x,70,0.91x,94,-13.32x,100,31.89%,100,Buy (1.86),78,N/A,N/A,16.40%,97,7.41%,62
FIS,"Fidelity National Information Services, Inc.",STOCK,60.81,0.59x,2,2.06x,92,95.89x,75,3.60%,79,29.40%,61,11.53x,97,6.62x,100,0.14%,33,98.98%,99,62.47x,3,0.25x,75,1.69x,98,3.58%,14,Buy (1.96),74,2.60%,2,8.20%,72,3.21%,92
FISV,"Fiserv, Inc.",STOCK,43.23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Hold (2.64),43,N/A,N/A,N/A,N/A,N/A,N/A
FITB,Fifth Third Bancorp,STOCK,58.05,N/A,N/A,4.36x,59,N/A,N/A,3.18%,69,0.00%,0,N/A,N/A,10.27x,96,0.36%,34,70.19%,88,16.95x,10,1.89x,14,1.67x,80,24.13%,97,Buy (1.71),82,7.97%,23,33.00%,100,5.44%,80
FIX,"Comfort Systems USA, Inc.",STOCK,45.65,1.24x,31,1.90x,93,45.49x,100,0.14%,6,17.13%,30,37.74x,0,35.24x,13,1.24%,39,96.57%,99,51.82x,4,1.44x,47,97.74x,0,12.07%,48,Strong Buy (1.33),91,53.29%,100,1.00%,24,2.50%,94
FOX,Fox Corporation,STOCK,67.48,2.78x,100,5.68x,30,67.39x,96,0.98%,14,21.31%,60,8.48x,97,11.49x,95,38.87%,6,66.38%,83,13.70x,96,N/A,N/A,2.22x,76,11.41%,46,N/A,N/A,16.82%,85,2.00%,29,8.02%,55
FOXA,Fox Corporation,STOCK,58.60,2.78x,100,8.42x,3,67.39x,96,0.88%,13,21.31%,60,9.29x,96,12.38x,95,1.30%,39,122.15%,100,15.31x,95,14.43x,0,2.49x,68,11.41%,46,Buy (2.21),64,16.82%,85,2.00%,29,18.37%,1
FRT,Federal Realty Investment Trust,STOCK,48.79,0.37x,1,0.02x,99,143.64x,30,4.04%,86,63.59%,100,18.32x,42,34.94x,13,1.12%,38,99.86%,99,23.75x,8,3.59x,11,3.10x,4,32.09%,100,Buy (2.11),68,12.23%,47,7.50%,68,0.02%,98
FSLR,"First Solar, Inc.",STOCK,88.24,2.67x,100,3.60x,74,6.87x,77,N/A,N/A,40.73%,96,8.93x,98,8.13x,99,5.43%,63,99.40%,99,13.89x,99,0.49x,94,2.22x,98,29.28%,100,Buy (2.17),66,17.45%,87,11.10%,86,7.96%,56
FTNT,"Fortinet, Inc.",STOCK,70.48,1.17x,25,3.03x,83,85.80x,84,N/A,N/A,32.74%,77,27.34x,70,25.90x,86,17.43%,97,71.35%,89,35.40x,77,2.05x,8,51.42x,13,27.26%,100,Hold (2.76),37,135.72%,100,14.80%,95,3.17%,92
FTV,Fortive Corporation,STOCK,61.30,0.71x,3,4.58x,54,51.18x,100,0.42%,8,27.85%,52,19.02x,91,19.43x,96,0.41%,35,108.74%,100,39.00x,64,0.98x,90,3.01x,98,13.93%,56,Hold (2.88),32,6.40%,8,4.60%,47,5.81%,77
GD,General Dynamics Corporation,STOCK,63.51,1.44x,55,1.96x,93,38.20x,98,1.95%,34,12.07%,9,14.48x,77,17.39x,86,0.52%,35,86.89%,97,20.24x,89,2.27x,3,3.29x,39,8.01%,32,Buy (2.21),64,17.66%,88,7.80%,70,1.11%,97
GDDY,GoDaddy Inc.,STOCK,73.30,0.61x,2,2.71x,86,1795.72x,0,N/A,N/A,25.35%,38,11.14x,97,7.97x,100,0.74%,36,104.18%,100,13.56x,99,0.68x,100,52.86x,11,17.67%,71,N/A,N/A,192.90%,100,6.80%,63,5.55%,79
GE,GE Aerospace,STOCK,53.43,1.01x,13,2.27x,90,116.53x,54,0.66%,10,22.84%,70,27.89x,2,32.81x,19,0.31%,34,81.22%,96,35.35x,38,6.85x,0,15.98x,0,17.86%,71,Strong Buy (1.48),88,45.43%,100,24.70%,100,1.21%,96
GEHC,GE HealthCare Technologies Inc.,STOCK,69.92,1.37x,47,3.37x,78,98.72x,72,0.20%,6,17.66%,52,10.52x,98,12.67x,94,0.35%,34,93.11%,99,15.49x,94,1.64x,29,3.09x,47,10.10%,40,Buy (1.85),78,22.38%,98,7.10%,65,3.01%,92
GEN,Gen Digital Inc.,STOCK,83.08,0.47x,1,3.09x,82,363.38x,0,2.63%,54,42.59%,97,9.63x,98,6.63x,100,9.48%,86,90.78%,98,19.61x,98,0.47x,93,4.94x,97,12.76%,51,Buy (2.00),73,26.90%,100,25.80%,100,5.35%,81
GEV,GE Vernova Inc.,STOCK,51.07,0.89x,8,3.19x,80,24.93x,92,0.13%,6,8.67%,3,86.72x,0,45.69x,2,0.10%,33,78.96%,94,32.78x,49,3.74x,0,21.62x,0,23.81%,95,Buy (1.51),87,75.71%,100,16.30%,97,2.94%,93
GILD,"Gilead Sciences, Inc.",STOCK,77.46,1.55x,68,3.88x,69,112.92x,58,2.57%,52,49.51%,100,11.97x,95,13.28x,94,0.12%,33,92.45%,98,18.84x,86,0.36x,85,6.98x,0,28.90%,100,Buy (1.70),83,40.66%,100,4.70%,48,1.83%,95
GIS,"General Mills, Inc.",STOCK,56.01,0.56x,2,3.73x,72,217.63x,2,7.03%,100,18.06%,88,6.43x,100,10.56x,96,0.30%,34,88.39%,98,8.49x,100,11.74x,0,3.35x,37,12.05%,48,Hold (3.05),25,23.59%,99,2.20%,30,9.72%,37
GL,Globe Life Inc.,STOCK,76.44,0.66x,3,0.02x,99,45.67x,100,0.87%,13,27.04%,89,8.64x,97,9.16x,97,0.67%,36,85.52%,97,10.52x,93,1.30x,61,1.95x,67,19.38%,78,Buy (1.91),76,20.46%,100,5.40%,53,0.02%,98
GLW,Corning Incorporated,STOCK,55.11,1.59x,72,1.32x,96,76.19x,91,0.67%,10,23.49%,28,41.54x,18,42.66x,18,8.17%,79,74.70%,92,91.81x,0,1.96x,11,12.19x,94,10.21%,41,Buy (1.88),77,14.90%,72,20.40%,99,2.07%,95
GM,General Motors Company,STOCK,47.16,1.17x,24,2.75x,86,208.30x,3,0.92%,13,9.53%,4,10.01x,95,5.62x,99,0.22%,34,88.15%,98,23.84x,81,3.55x,0,1.15x,94,1.46%,6,Buy (1.85),78,4.32%,4,-5.10%,5,2.15%,95
GNRC,Generac Holdings Inc.,STOCK,43.07,2.03x,96,3.32x,79,52.48x,100,N/A,N/A,11.50%,8,28.88x,1,21.10x,74,1.73%,41,97.06%,99,81.90x,0,1.07x,83,4.91x,6,3.79%,15,Buy (1.90),76,6.28%,8,-11.60%,1,6.33%,73
GOOG,Alphabet Inc.,STOCK,64.31,2.00x,95,2.10x,92,16.13x,85,0.24%,7,37.28%,99,27.68x,2,25.76x,51,6.64%,71,60.88%,74,32.21x,51,2.34x,2,10.15x,0,32.81%,100,Strong Buy (1.39),90,35.71%,100,18.00%,98,N/A,N/A
GOOGL,Alphabet Inc.,STOCK,64.72,2.00x,95,2.72x,86,16.13x,85,0.24%,7,37.28%,99,27.82x,2,25.90x,51,0.57%,35,80.66%,95,32.35x,51,2.36x,2,10.20x,0,32.81%,100,Strong Buy (1.39),90,35.71%,100,18.00%,98,1.34%,96
GPC,Genuine Parts Company,STOCK,49.07,1.09x,18,2.97x,83,149.45x,25,3.99%,85,8.24%,3,10.27x,94,12.73x,94,0.42%,35,91.21%,98,242.18x,0,1.32x,59,3.28x,40,0.24%,1,Buy (2.22),63,1.34%,1,6.80%,63,5.66%,78
GPN,Global Payments Inc.,STOCK,67.74,1.69x,81,3.87x,69,93.32x,77,1.46%,23,44.63%,100,9.85x,95,4.22x,99,0.89%,37,101.26%,99,15.42x,95,0.20x,71,0.71x,97,18.17%,73,Buy (2.36),57,4.82%,5,-0.00%,19,5.44%,80
GRMN,Garmin Ltd.,STOCK,74.16,3.63x,100,4.16x,63,2.18x,73,1.63%,26,28.50%,56,22.76x,84,25.23x,87,14.88%,100,57.22%,67,29.96x,89,3.37x,0,5.52x,97,22.96%,92,Hold (2.75),38,19.78%,95,16.60%,97,1.89%,95
GS,"The Goldman Sachs Group, Inc.",STOCK,62.99,2.60x,100,3.16x,81,608.94x,0,1.92%,34,0.00%,0,N/A,N/A,14.35x,92,0.52%,35,75.92%,93,17.12x,9,1.43x,48,2.61x,30,29.36%,100,Hold (2.54),48,14.59%,94,14.50%,94,2.30%,94
GWW,"W.W. Grainger, Inc.",STOCK,52.35,2.83x,100,4.96x,45,69.11x,95,0.78%,12,16.51%,26,19.42x,32,23.83x,61,6.25%,68,76.30%,93,32.68x,49,1.95x,11,14.70x,0,9.51%,38,Hold (2.79),36,46.10%,100,4.50%,46,2.97%,92
HAL,Halliburton Company,STOCK,50.30,2.08x,97,1.62x,94,74.65x,92,1.69%,28,18.60%,40,9.62x,28,14.08x,9,0.48%,35,83.99%,97,22.17x,2,1.06x,84,3.12x,46,6.95%,28,Buy (1.89),77,14.63%,70,-0.30%,17,4.53%,86
HAS,"Hasbro, Inc.",STOCK,55.73,1.38x,48,3.17x,81,600.58x,0,2.96%,63,25.53%,84,13.22x,84,14.94x,91,0.84%,37,95.04%,99,N/A,N/A,2.44x,1,24.68x,0,-6.86%,0,Buy (1.56),86,-36.35%,0,31.30%,100,4.47%,86
HBAN,Huntington Bancshares Incorporated,STOCK,68.53,N/A,N/A,2.80x,85,N/A,N/A,3.75%,81,0.00%,0,N/A,N/A,8.70x,97,0.80%,36,72.94%,90,12.72x,72,1.90x,14,1.13x,93,26.58%,100,Buy (1.58),86,8.39%,28,34.00%,100,3.45%,91
HCA,"HCA Healthcare, Inc.",STOCK,73.16,0.83x,6,4.01x,66,N/A,N/A,0.70%,11,20.38%,76,9.85x,99,13.39x,93,16.16%,99,78.34%,94,15.36x,94,1.18x,73,-16.61x,100,8.89%,36,Buy (1.96),74,N/A,N/A,4.30%,45,2.68%,93
HD,"The Home Depot, Inc.",STOCK,49.22,1.06x,16,2.95x,84,514.39x,0,2.80%,59,15.19%,20,15.81x,66,20.38x,77,0.07%,33,74.31%,92,23.37x,82,3.07x,0,25.83x,0,8.60%,34,Buy (1.89),77,145.54%,100,-3.80%,7,1.36%,96
HIG,"The Hartford Insurance Group, Inc.",STOCK,77.02,1.79x,87,0.02x,99,23.15x,90,1.76%,29,19.18%,44,6.84x,98,9.47x,97,0.36%,34,96.43%,99,9.63x,96,0.12x,63,2.03x,63,14.11%,56,Buy (2.26),62,22.74%,100,6.10%,58,0.01%,98
HII,"Huntington Ingalls Industries, Inc.",STOCK,66.66,1.13x,21,2.14x,91,58.76x,99,1.54%,24,9.05%,4,14.40x,77,17.61x,85,0.53%,35,96.09%,99,23.30x,82,1.24x,67,2.77x,58,4.85%,19,Buy (2.42),54,12.42%,49,15.70%,96,3.03%,92
HLT,Hilton Worldwide Holdings Inc.,STOCK,50.21,0.67x,3,3.60x,74,N/A,N/A,0.18%,6,57.57%,100,31.05x,0,31.80x,23,2.18%,44,101.08%,99,54.32x,2,1.59x,33,-14.22x,100,29.41%,100,Buy (2.16),66,N/A,N/A,7.00%,64,2.90%,93
HON,Honeywell International Inc.,STOCK,51.89,1.39x,48,3.04x,82,257.39x,0,2.24%,42,22.64%,69,18.86x,37,18.48x,83,0.07%,33,81.04%,95,33.87x,44,1.94x,12,9.69x,0,10.89%,44,Buy (2.04),71,24.26%,99,2.40%,32,1.75%,96
HOOD,"Robinhood Markets, Inc.",STOCK,57.67,1.13x,21,1.10x,96,136.04x,36,N/A,N/A,0.00%,0,N/A,N/A,31.17x,25,0.70%,36,73.71%,91,40.95x,0,N/A,N/A,8.28x,0,42.10%,100,Buy (1.93),76,21.99%,100,26.50%,100,4.08%,88
HPE,Hewlett Packard Enterprise Company,STOCK,65.70,1.03x,14,4.03x,66,87.22x,82,1.99%,35,13.68%,4,11.22x,97,10.52x,99,0.42%,35,94.34%,99,N/A,N/A,0.85x,97,1.54x,98,-0.33%,0,Buy (2.17),65,-0.47%,1,18.40%,98,6.31%,73
HPQ,HP Inc.,STOCK,54.20,0.76x,4,6.06x,23,N/A,N/A,6.07%,99,7.93%,1,5.80x,99,6.64x,100,0.28%,34,90.66%,98,7.48x,100,1.71x,24,-23.66x,100,4.46%,18,Hold (3.06),25,N/A,N/A,6.90%,64,15.15%,5
HRL,Hormel Foods Corporation,STOCK,48.07,2.66x,100,4.67x,52,4.24x,75,5.45%,97,9.98%,12,9.48x,97,13.66x,93,0.46%,35,92.16%,98,24.12x,8,1.45x,46,1.49x,90,4.03%,16,Hold (2.60),45,6.12%,8,-2.90%,9,7.74%,59
HSIC,"Henry Schein, Inc.",STOCK,53.54,1.38x,48,6.22x,21,71.74x,94,N/A,N/A,7.76%,2,13.38x,89,13.12x,94,0.82%,37,106.60%,100,23.61x,60,1.72x,24,2.75x,59,3.02%,12,Buy (2.38),56,8.70%,18,7.70%,69,6.82%,68
HST,"Host Hotels & Resorts, Inc.",STOCK,71.34,2.12x,97,2.93x,84,83.78x,85,3.83%,83,26.81%,88,11.80x,90,21.53x,72,1.49%,40,105.69%,100,18.98x,45,2.34x,70,2.19x,36,12.48%,50,Buy (1.90),76,11.49%,40,12.80%,91,5.68%,78
HSY,The Hershey Company,STOCK,51.24,1.19x,26,4.81x,49,123.76x,47,3.11%,67,16.89%,81,21.57x,0,18.89x,82,0.32%,34,88.53%,98,42.87x,0,1.10x,80,8.16x,0,7.55%,30,Hold (2.68),41,18.89%,92,7.00%,64,7.45%,62
HUBB,Hubbell Incorporated,STOCK,56.93,1.72x,83,4.71x,51,64.47x,97,1.02%,15,24.15%,77,22.33x,13,25.71x,52,0.33%,34,100.00%,99,33.56x,46,2.69x,0,7.69x,0,15.18%,61,Buy (2.13),67,24.54%,99,11.90%,88,5.50%,80
HUM,Humana Inc.,STOCK,64.77,2.00x,95,3.06x,82,74.81x,92,1.58%,25,2.75%,0,5.72x,100,14.87x,91,0.17%,33,104.98%,100,22.73x,66,1.26x,65,1.53x,90,0.92%,4,Hold (2.62),44,7.04%,10,11.30%,86,5.13%,82
HWM,Howmet Aerospace Inc.,STOCK,63.09,2.13x,97,4.32x,60,60.02x,99,0.20%,6,28.94%,93,41.62x,0,43.04x,3,0.89%,37,94.44%,99,65.15x,0,0.80x,99,18.13x,0,18.27%,73,Strong Buy (1.43),89,30.44%,100,14.60%,94,2.36%,94
IBKR,"Interactive Brokers Group, Inc.",STOCK,51.69,1.10x,19,2.14x,91,150.65x,24,0.45%,8,0.00%,0,N/A,N/A,27.23x,44,2.80%,48,89.47%,98,33.30x,0,2.07x,7,6.44x,0,16.11%,64,Buy (1.70),83,23.56%,100,16.80%,97,2.71%,93
IBM,International Business Machines Corporation,STOCK,65.28,0.80x,5,4.66x,52,211.17x,3,2.96%,63,24.10%,31,16.40x,94,17.01x,97,0.12%,33,65.28%,82,20.18x,98,2.17x,5,6.54x,97,15.61%,62,Buy (2.14),67,35.77%,100,9.50%,79,2.62%,93
ICE,"Intercontinental Exchange, Inc.",STOCK,58.91,1.02x,13,2.27x,90,70.08x,95,1.33%,20,62.19%,100,17.60x,49,18.00x,84,0.83%,37,94.88%,99,27.15x,0,2.20x,4,3.08x,12,33.38%,100,Strong Buy (1.50),88,11.88%,75,7.80%,70,1.35%,96
IDXX,"IDEXX Laboratories, Inc.",STOCK,52.03,1.23x,30,4.06x,65,60.83x,98,N/A,N/A,34.97%,100,30.94x,0,35.06x,13,0.71%,36,96.05%,99,43.99x,0,3.94x,0,28.55x,0,24.62%,98,Buy (2.13),67,66.20%,100,14.30%,94,2.97%,92
IEX,IDEX Corporation,STOCK,58.49,2.86x,100,2.25x,91,48.25x,100,1.37%,21,26.94%,89,18.02x,45,23.11x,65,0.21%,34,108.05%,100,32.35x,51,1.83x,17,3.84x,22,13.98%,56,Buy (1.93),75,12.34%,48,4.20%,44,3.21%,92
IFF,International Flavors & Fragrances Inc.,STOCK,50.39,1.42x,53,5.71x,30,46.88x,100,2.25%,25,17.06%,22,13.04x,16,14.95x,91,0.11%,33,103.42%,99,N/A,N/A,0.82x,98,1.28x,93,-3.32%,0,Buy (1.68),83,-2.56%,0,-6.60%,3,4.97%,83
INCY,Incyte Corporation,STOCK,81.48,3.32x,100,7.92x,5,1.06x,72,N/A,N/A,28.00%,98,10.78x,97,10.99x,96,1.96%,43,104.50%,100,14.93x,95,0.34x,84,3.68x,27,25.03%,100,Buy (2.35),57,29.87%,100,27.80%,100,8.43%,51
INSM,Insmed Incorporated,STOCK,55.62,3.83x,100,5.41x,35,101.43x,69,N/A,N/A,-161.68%,0,-29.20x,100,181.52x,0,0.55%,35,102.56%,99,N/A,N/A,1.09x,81,39.43x,0,-210.54%,0,Strong Buy (1.19),93,-249.28%,0,152.60%,100,7.24%,64
INTC,Intel Corporation,STOCK,54.71,2.31x,99,1.38x,95,36.03x,97,N/A,N/A,26.36%,43,31.96x,52,57.71x,1,12.96%,98,61.70%,76,N/A,N/A,1.36x,55,3.71x,98,-5.90%,0,Hold (2.66),42,-2.91%,0,7.20%,66,2.87%,93
INTU,Intuit Inc.,STOCK,86.32,1.32x,41,2.84x,85,36.15x,97,1.19%,18,30.35%,66,18.30x,92,14.72x,98,2.35%,45,90.69%,98,25.39x,95,1.02x,87,5.68x,97,21.57%,86,Strong Buy (1.47),88,23.46%,99,17.40%,97,3.90%,89
INVH,Invitation Homes Inc.,STOCK,48.22,2.42x,99,3.01x,83,88.12x,82,4.41%,90,54.84%,100,16.72x,58,38.84x,6,0.33%,34,104.89%,100,28.36x,1,13.14x,0,1.75x,68,21.63%,87,Buy (2.25),62,6.09%,7,4.30%,45,4.37%,87
IP,International Paper Company,STOCK,56.77,1.28x,36,6.39x,18,71.07x,94,5.67%,98,16.71%,27,6.76x,99,11.79x,95,0.19%,33,102.16%,99,N/A,N/A,1.58x,34,1.16x,94,-14.88%,0,Buy (2.08),69,-24.68%,0,53.10%,100,15.15%,5
IQV,IQVIA Holdings Inc.,STOCK,72.37,0.75x,4,3.34x,78,245.93x,0,N/A,N/A,18.01%,55,14.33x,83,11.64x,95,1.09%,38,103.04%,99,20.87x,77,0.68x,100,4.27x,13,8.34%,33,Strong Buy (1.35),91,21.44%,97,10.30%,83,3.31%,91
IR,Ingersoll Rand Inc.,STOCK,58.75,2.06x,96,5.73x,29,50.70x,100,0.10%,6,26.35%,87,18.28x,42,21.70x,71,0.23%,34,96.72%,99,57.94x,1,0.78x,99,3.26x,41,7.60%,30,Buy (2.06),70,5.77%,7,10.10%,82,5.95%,76
IRM,Iron Mountain Incorporated,STOCK,48.35,0.74x,4,5.87x,27,N/A,N/A,3.07%,66,33.74%,98,22.61x,12,43.74x,2,0.91%,37,87.87%,98,234.90x,0,2.70x,49,-33.99x,100,2.10%,8,Buy (1.73),82,N/A,N/A,16.60%,97,3.66%,90
ISRG,"Intuitive Surgical, Inc.",STOCK,53.29,4.61x,100,4.03x,66,N/A,N/A,N/A,N/A,36.72%,100,41.80x,0,39.99x,5,0.56%,35,89.36%,98,57.16x,0,2.59x,1,9.38x,0,28.15%,100,Buy (1.94),75,17.23%,87,23.00%,100,1.89%,95
IT,"Gartner, Inc.",STOCK,61.61,1.00x,12,5.70x,30,1046.54x,0,N/A,N/A,20.17%,15,9.24x,98,10.11x,99,3.48%,52,109.49%,100,15.40x,99,0.79x,99,32.95x,56,11.22%,45,Hold (2.67),42,86.86%,100,2.20%,30,17.14%,2
ITW,Illinois Tool Works Inc.,STOCK,49.02,1.21x,28,7.20x,10,285.52x,0,2.39%,47,29.01%,93,18.50x,40,22.23x,69,0.38%,34,85.79%,97,25.71x,76,2.73x,0,24.14x,0,19.11%,76,Hold (3.39),15,93.72%,100,4.10%,43,3.12%,92
IVZ,Invesco Ltd.,STOCK,61.08,0.79x,5,3.79x,70,17.16x,86,3.30%,72,20.07%,51,12.33x,88,8.85x,97,0.63%,36,94.58%,99,N/A,N/A,0.38x,87,1.16x,93,-4.42%,0,Buy (2.25),62,-1.22%,0,6.20%,59,6.60%,70
J,Jacobs Solutions Inc.,STOCK,62.50,1.33x,41,4.75x,50,65.17x,97,1.14%,17,10.32%,5,13.51x,83,15.68x,90,0.62%,36,91.37%,98,33.20x,47,0.49x,94,4.30x,13,3.50%,14,Buy (2.00),73,9.73%,25,12.30%,90,4.27%,87
JBHT,"J.B. Hunt Transport Services, Inc.",STOCK,48.86,1.26x,33,3.21x,80,43.62x,99,0.72%,11,13.25%,12,15.64x,67,27.67x,41,20.32%,87,77.48%,94,38.91x,25,2.42x,2,6.56x,1,5.13%,21,Buy (2.08),69,16.68%,84,4.60%,47,4.64%,85
JBL,Jabil Inc.,STOCK,69.29,1.01x,13,1.96x,93,328.91x,0,0.09%,6,7.28%,1,16.23x,94,23.40x,91,1.28%,39,97.61%,99,45.87x,36,0.82x,98,26.83x,72,2.48%,10,Buy (1.60),85,59.70%,100,23.10%,100,2.73%,93
JCI,Johnson Controls International plc,STOCK,43.76,0.99x,12,2.04x,92,73.34x,93,1.12%,16,17.25%,31,23.45x,9,25.77x,51,0.18%,33,94.83%,99,48.11x,7,2.58x,1,6.65x,0,14.17%,57,Buy (2.13),67,12.64%,51,6.80%,63,1.52%,96
JKHY,"Jack Henry & Associates, Inc.",STOCK,70.64,1.60x,73,5.54x,33,3.11x,74,1.56%,25,28.26%,54,15.71x,94,21.59x,93,0.60%,35,104.64%,100,21.67x,97,2.12x,6,4.95x,97,20.59%,82,Buy (1.69),83,24.28%,99,7.90%,70,8.09%,55
JNJ,Johnson & Johnson,STOCK,63.06,1.02x,14,2.59x,88,67.73x,96,2.38%,46,35.62%,100,16.76x,53,17.73x,85,0.06%,33,75.99%,93,26.11x,42,2.96x,0,6.65x,0,21.83%,87,Buy (2.12),68,26.42%,100,9.90%,81,0.91%,97
JPM,JPMorgan Chase & Co.,STOCK,66.22,N/A,N/A,2.66x,87,N/A,N/A,1.93%,34,0.00%,0,N/A,N/A,13.25x,94,0.41%,34,75.20%,92,14.92x,34,1.66x,28,2.43x,40,33.94%,100,Buy (2.16),66,16.47%,98,12.70%,91,1.01%,97
KDP,Keurig Dr Pepper Inc.,STOCK,65.59,2.31x,99,5.86x,27,85.98x,84,3.27%,71,26.22%,100,16.80x,11,11.15x,96,4.97%,60,97.44%,99,20.85x,38,0.98x,90,1.50x,90,10.81%,43,Buy (2.06),70,6.31%,8,9.40%,79,5.14%,82
