Symbol,Name,Asset Type,Total Score (%),Current Ratio (Value),Current Ratio (Strength %),Short Ratio (Value),Short Ratio (Strength %),Debt to Equity (Value),Debt to Equity (Strength %),Dividend Yield (Value),Dividend Yield (Strength %),EBITDA Margin (Value),EBITDA Margin (Strength %),EV/EBITDA (Value),EV/EBITDA (Strength %),Forward P/E Ratio (Value),Forward P/E Ratio (Strength %),Insider Ownership (Value),Insider Ownership (Strength %),Institutional Ownership (Value),Institutional Ownership (Strength %),Trailing P/E Ratio (Value),Trailing P/E Ratio (Strength %),PEG Ratio (Value),PEG Ratio (Strength %),Price to Book (Value),Price to Book (Strength %),Profit Margin (Value),Profit Margin (Strength %),Analyst Recommendation (Value),Analyst Recommendation (Strength %),Return on Equity (Value),Return on Equity (Strength %),Revenue Growth (Value),Revenue Growth (Strength %),Short % of Float (Value),Short % of Float (Strength %)
KEY,KeyCorp,STOCK,66.46,N/A,N/A,0.00x,99,N/A,N/A,3.75%,81,0.00%,0,N/A,N/A,10.18x,97,0.29%,34,91.45%,98,13.42x,61,2.09x,7,1.36x,89,27.03%,100,Buy (2.11),68,9.97%,50,11.70%,88,0.00%,98
KEYS,"Keysight Technologies, Inc.",STOCK,59.06,2.60x,100,1.61x,95,44.67x,100,N/A,N/A,22.65%,24,47.46x,7,34.10x,54,0.59%,35,93.50%,99,62.15x,4,2.08x,7,9.74x,95,16.95%,68,N/A,N/A,17.22%,86,23.30%,100,1.34%,96
KHC,The Kraft Heinz Company,STOCK,54.49,1.15x,23,4.76x,50,52.10x,100,7.06%,100,22.96%,99,7.83x,99,10.51x,96,27.79%,44,63.71%,79,N/A,N/A,0.99x,89,0.64x,97,-23.44%,0,Hold (3.14),22,-12.84%,0,-3.40%,8,8.66%,48
KIM,Kimco Realty Corporation,STOCK,46.59,0.49x,1,4.79x,49,78.68x,89,4.40%,90,61.21%,100,18.48x,40,27.25x,43,2.20%,44,98.91%,99,26.87x,2,3.37x,17,1.52x,81,27.32%,100,Buy (2.32),59,5.54%,6,3.20%,37,4.52%,86
KKR,KKR & Co. Inc.,STOCK,61.82,0.85x,6,2.15x,91,68.61x,95,0.71%,11,0.00%,0,N/A,N/A,13.56x,93,23.23%,71,62.18%,77,44.31x,0,0.55x,97,3.26x,8,9.24%,37,Buy (1.57),86,8.56%,30,76.30%,100,1.95%,95
KLAC,KLA Corporation,STOCK,62.66,3.03x,100,3.57x,74,100.97x,70,0.44%,8,44.67%,98,38.79x,26,35.77x,46,0.10%,33,93.36%,99,48.78x,26,1.94x,12,41.42x,32,35.66%,100,Buy (1.93),75,94.98%,100,11.50%,87,2.84%,93
KMB,Kimberly-Clark Corporation,STOCK,49.94,0.77x,4,7.52x,8,371.26x,0,5.24%,96,20.24%,96,11.67x,85,12.91x,94,0.71%,36,89.42%,98,18.89x,66,1.99x,10,21.58x,0,12.80%,51,Hold (2.53),48,111.73%,100,2.70%,34,13.20%,11
KMI,"Kinder Morgan, Inc.",STOCK,48.47,0.52x,1,3.52x,75,98.84x,72,3.61%,79,42.44%,100,14.22x,1,22.03x,0,12.78%,98,69.38%,87,21.83x,2,3.92x,0,2.31x,73,18.92%,76,Buy (2.13),67,10.60%,32,13.80%,93,2.50%,94
KO,The Coca-Cola Company,STOCK,59.13,1.36x,45,2.76x,86,122.82x,48,2.62%,54,33.92%,100,22.15x,0,22.61x,67,9.90%,88,66.77%,84,24.71x,6,4.04x,0,10.05x,0,27.80%,100,Buy (1.71),83,43.37%,100,12.10%,89,0.96%,97
KR,The Kroger Co.,STOCK,45.29,0.80x,5,4.25x,61,415.97x,0,2.07%,38,5.48%,2,9.32x,97,12.05x,95,9.12%,84,81.90%,96,44.01x,0,1.60x,32,7.32x,0,0.69%,3,Buy (2.12),68,14.41%,68,1.20%,25,4.86%,84
KVUE,Kenvue Inc.,STOCK,56.01,0.96x,10,3.14x,81,80.58x,88,4.76%,93,21.44%,97,12.65x,73,14.54x,92,0.07%,33,96.32%,99,22.93x,15,1.50x,41,3.10x,46,9.72%,39,Hold (2.79),36,14.39%,68,3.20%,37,3.64%,90
L,Loews Corporation,STOCK,52.16,0.51x,1,6.01x,24,50.22x,100,0.22%,6,17.64%,33,8.19x,97,38.52x,7,18.93%,93,60.40%,74,14.02x,50,1.32x,59,1.23x,92,9.03%,36,N/A,N/A,9.43%,42,4.10%,43,2.36%,94
LDOS,"Leidos Holdings, Inc.",STOCK,61.60,1.70x,82,3.30x,79,107.66x,63,1.15%,17,13.92%,4,9.68x,98,11.33x,99,0.57%,35,81.96%,96,13.41x,99,2.46x,1,3.84x,98,8.43%,34,Buy (2.12),68,31.03%,100,-3.60%,7,3.17%,92
LEN,Lennar Corporation,STOCK,64.06,8.33x,100,0.12x,99,24.99x,92,2.21%,42,7.48%,2,7.44x,98,11.62x,95,5.24%,62,94.39%,99,12.73x,97,0.57x,98,1.00x,95,5.39%,22,Hold (3.37),15,8.08%,15,-13.30%,0,0.24%,98
LH,Labcorp Holdings Inc.,STOCK,66.80,1.73x,83,5.73x,29,82.79x,86,1.12%,16,15.93%,35,12.13x,95,13.16x,94,0.36%,34,108.12%,100,22.68x,66,1.06x,84,2.44x,70,6.66%,27,Buy (1.63),85,11.05%,36,5.80%,56,3.95%,89
LHX,"L3Harris Technologies, Inc.",STOCK,57.16,N/A,N/A,1.99x,92,34.57x,97,1.60%,26,16.69%,27,35.58x,0,23.00x,65,0.34%,34,88.97%,98,34.02x,44,2.03x,9,3.05x,48,10.37%,41,Buy (1.67),84,N/A,N/A,190.00%,100,1.56%,96
LII,Lennox International Inc.,STOCK,63.06,1.57x,70,3.42x,77,161.04x,18,0.99%,14,21.98%,64,17.50x,50,19.77x,79,9.55%,86,79.04%,95,23.36x,82,1.54x,38,15.75x,0,15.09%,60,Buy (2.50),50,76.79%,100,5.80%,56,5.66%,78
LIN,Linde plc,STOCK,49.47,0.88x,7,2.75x,86,70.63x,94,1.28%,7,39.26%,98,19.24x,0,25.77x,51,0.26%,34,87.67%,98,33.66x,0,2.36x,2,6.16x,1,20.30%,81,Buy (1.70),83,17.82%,89,5.80%,56,1.45%,96
LITE,Lumentum Holdings Inc.,STOCK,48.41,0.61x,2,1.20x,96,392.48x,0,N/A,N/A,12.72%,3,261.46x,0,58.07x,1,0.63%,36,114.89%,100,277.76x,0,0.63x,99,80.12x,0,11.95%,48,Buy (1.61),85,29.28%,100,65.50%,100,13.95%,8
LLY,Eli Lilly and Company,STOCK,60.08,N/A,N/A,2.70x,86,165.31x,16,0.65%,10,50.11%,100,24.78x,1,22.06x,70,0.17%,33,84.72%,97,34.25x,6,1.38x,53,32.48x,0,34.99%,100,Buy (1.71),83,N/A,N/A,55.50%,100,1.02%,97
LMT,Lockheed Martin Corporation,STOCK,56.06,1.14x,21,1.81x,93,276.37x,0,2.63%,54,10.65%,6,17.14x,54,15.97x,89,0.09%,33,74.93%,92,24.82x,78,1.10x,80,15.75x,0,6.38%,26,Hold (2.55),48,67.64%,100,0.30%,20,1.29%,96
LNT,Alliant Energy Corporation,STOCK,54.22,0.80x,5,10.88x,0,168.08x,70,2.84%,60,42.46%,98,16.55x,29,20.12x,77,0.16%,33,83.84%,97,23.59x,82,2.49x,1,2.60x,64,18.57%,74,Buy (1.92),76,11.30%,38,9.00%,76,9.23%,42
LOW,"Lowe's Companies, Inc.",STOCK,61.55,1.08x,17,4.72x,51,N/A,N/A,2.06%,37,14.37%,16,14.06x,79,17.10x,87,0.11%,33,80.76%,95,19.71x,90,2.54x,1,-13.20x,100,7.71%,31,Buy (1.89),77,N/A,N/A,10.90%,85,2.40%,94
LRCX,Lam Research Corporation,STOCK,70.67,2.54x,100,2.54x,88,35.28x,97,0.40%,8,36.20%,89,40.77x,20,32.55x,62,0.29%,34,88.61%,98,48.53x,27,1.52x,39,31.66x,60,30.94%,100,Buy (1.57),86,66.76%,100,23.80%,100,2.33%,94
LULU,lululemon athletica inc.,STOCK,77.14,2.26x,99,1.56x,95,36.24x,97,N/A,N/A,24.38%,78,5.70x,99,10.08x,97,4.72%,59,78.93%,94,10.07x,98,0.66x,100,3.14x,45,14.22%,57,Hold (2.88),32,34.01%,100,0.80%,23,5.43%,80
LUV,Southwest Airlines Co.,STOCK,64.14,0.48x,1,2.42x,89,93.03x,77,1.90%,33,7.66%,3,9.95x,95,8.53x,98,1.00%,38,94.19%,99,25.84x,75,0.22x,73,2.50x,67,2.83%,11,Hold (2.52),49,10.06%,28,12.80%,91,5.20%,82
LVS,Las Vegas Sands Corp.,STOCK,69.87,0.92x,9,3.68x,72,981.40x,0,2.04%,37,35.15%,99,10.04x,95,14.60x,92,58.53%,0,42.58%,33,19.85x,89,0.98x,90,29.77x,0,13.41%,54,Buy (1.70),83,90.45%,100,25.30%,100,8.83%,46
LYB,LyondellBasell Industries N.V.,STOCK,42.83,1.77x,86,1.47x,95,144.16x,29,6.40%,99,7.23%,3,16.32x,2,13.14x,94,20.17%,87,74.17%,91,N/A,N/A,1.53x,38,2.40x,71,-2.47%,0,Hold (2.89),32,-6.95%,0,-9.20%,2,4.77%,84
LYV,"Live Nation Entertainment, Inc.",STOCK,34.77,0.99x,12,7.59x,7,572.03x,0,N/A,N/A,7.79%,3,21.21x,19,71.08x,0,32.17%,23,82.28%,96,N/A,N/A,6.12x,0,136.66x,0,1.97%,8,Buy (1.54),87,36.70%,100,11.10%,86,13.65%,9
MA,Mastercard Incorporated,STOCK,59.50,0.98x,11,1.90x,93,282.06x,0,0.69%,11,62.39%,100,21.26x,19,21.85x,71,0.59%,35,91.16%,98,28.66x,0,1.60x,32,57.25x,0,45.88%,100,Strong Buy (1.33),91,232.08%,100,15.80%,96,0.73%,97
MAA,"Mid-America Apartment Communities, Inc.",STOCK,38.52,0.18x,0,3.52x,75,99.41x,71,4.76%,93,55.72%,100,16.78x,57,33.05x,19,0.66%,36,98.51%,99,38.96x,0,7.03x,0,2.65x,13,17.60%,70,Buy (2.40),55,6.71%,9,0.80%,23,2.93%,93
MAR,"Marriott International, Inc.",STOCK,53.16,0.43x,1,3.70x,72,N/A,N/A,0.74%,11,65.84%,100,24.12x,7,27.21x,44,17.80%,96,65.79%,82,37.33x,31,2.19x,5,-25.03x,100,37.25%,100,Buy (2.23),63,N/A,N/A,6.30%,59,2.36%,94
MAS,Masco Corporation,STOCK,67.84,1.75x,85,3.52x,75,12229.63x,0,1.78%,30,18.86%,42,12.12x,89,15.16x,91,0.22%,34,105.94%,100,17.63x,92,1.61x,32,-59.37x,100,10.90%,44,Buy (2.36),57,8457.14%,100,6.50%,61,5.29%,81
MCD,McDonald's Corporation,STOCK,66.35,0.95x,10,2.65x,87,N/A,N/A,2.60%,53,54.28%,100,17.66x,48,19.97x,78,0.28%,34,75.63%,93,23.99x,81,2.63x,1,-113.79x,100,31.85%,100,Buy (2.11),68,N/A,N/A,9.70%,80,1.30%,96
MCHP,Microchip Technology Incorporated,STOCK,59.34,2.16x,98,3.29x,79,82.38x,86,1.96%,35,22.41%,23,57.14x,2,35.29x,49,2.09%,43,99.52%,99,N/A,N/A,1.15x,75,7.75x,96,-1.57%,0,Buy (1.62),85,-1.09%,0,15.60%,96,5.93%,76
MCK,McKesson Corporation,STOCK,64.02,0.88x,7,3.34x,78,N/A,N/A,0.40%,8,1.49%,0,18.00x,36,18.46x,83,0.10%,33,91.62%,98,23.47x,61,0.99x,89,-77.14x,100,1.09%,4,Buy (1.53),87,N/A,N/A,11.40%,87,2.11%,95
MCO,Moody's Corporation,STOCK,54.50,1.16x,23,3.40x,77,235.54x,1,0.89%,13,48.44%,100,22.46x,12,24.55x,58,14.25%,100,80.44%,95,32.67x,0,2.10x,7,26.59x,0,31.69%,100,Buy (1.78),80,71.36%,100,8.10%,71,2.38%,94
MDLZ,"Mondelez International, Inc.",STOCK,53.40,0.54x,1,3.76x,71,83.79x,85,3.26%,71,13.27%,41,18.97x,3,18.11x,84,0.21%,33,88.33%,98,30.38x,0,1.01x,88,3.04x,48,6.64%,27,Buy (1.88),77,10.16%,29,8.20%,72,3.25%,92
MDT,Medtronic plc,STOCK,73.68,2.54x,100,1.96x,93,57.06x,99,3.51%,77,26.60%,97,12.99x,91,13.20x,94,0.32%,34,86.17%,97,22.35x,69,1.41x,50,2.10x,79,13.00%,52,Buy (1.90),77,9.39%,23,8.70%,75,1.21%,96
MELI,"MercadoLibre, Inc.",STOCK,57.67,1.17x,25,2.35x,90,169.24x,14,N/A,N/A,13.91%,14,24.61x,6,27.22x,44,7.30%,74,82.64%,96,46.94x,8,1.10x,80,13.90x,0,6.91%,28,Strong Buy (1.38),90,35.99%,100,44.60%,100,2.02%,95
MET,"MetLife, Inc.",STOCK,69.36,1.90x,92,3.46x,76,225.97x,1,2.96%,63,7.74%,3,15.53x,68,7.32x,98,16.49%,99,77.56%,94,17.03x,10,0.42x,90,1.85x,72,4.38%,18,Buy (1.89),77,12.02%,77,27.60%,100,2.32%,94
META,"Meta Platforms, Inc.",STOCK,85.73,2.35x,99,1.48x,95,35.61x,97,0.34%,7,50.85%,100,14.16x,79,16.83x,87,0.12%,33,78.44%,94,22.12x,85,1.00x,88,7.09x,0,32.84%,100,Strong Buy (1.36),90,32.93%,100,33.10%,100,1.21%,96
MGM,MGM Resorts International,STOCK,45.50,1.33x,42,4.64x,52,951.19x,0,N/A,N/A,12.84%,11,17.56x,49,16.55x,88,27.40%,46,72.39%,90,52.74x,3,0.95x,92,4.09x,17,1.03%,4,Buy (2.41),54,13.49%,60,4.20%,44,13.70%,9
MKC,"McCormick & Company, Incorporated",STOCK,74.31,0.76x,4,0.00x,99,65.16x,97,3.78%,82,19.09%,92,13.87x,52,15.01x,91,0.02%,33,95.47%,99,8.24x,100,1.95x,11,1.93x,83,23.12%,92,Buy (2.13),67,25.35%,99,16.70%,97,N/A,N/A
MLM,"Martin Marietta Materials, Inc.",STOCK,45.21,2.28x,99,3.65x,73,46.86x,100,0.54%,3,33.20%,93,19.96x,0,26.46x,48,0.77%,36,100.97%,99,38.45x,0,3.19x,0,3.69x,26,39.91%,100,Buy (1.95),74,9.47%,23,0.70%,22,3.18%,92
MMM,3M Company,STOCK,61.65,1.59x,72,2.41x,89,396.50x,0,2.19%,41,24.94%,81,13.09x,85,15.08x,91,0.10%,33,75.75%,93,27.46x,70,1.54x,38,22.78x,0,11.14%,45,Buy (2.11),68,71.46%,100,1.30%,25,1.53%,96
MNST,Monster Beverage Corporation,STOCK,55.38,3.70x,100,4.35x,59,0.80x,71,N/A,N/A,32.05%,100,27.36x,0,30.42x,28,28.49%,40,68.69%,86,39.75x,0,2.22x,4,9.14x,0,22.97%,92,Buy (2.08),70,26.82%,100,17.60%,98,3.09%,92
MO,"Altria Group, Inc.",STOCK,73.20,0.62x,2,4.58x,54,N/A,N/A,5.69%,98,78.24%,100,9.18x,97,12.80x,94,0.14%,33,63.64%,79,15.56x,93,1.85x,16,-35.64x,100,39.65%,100,Buy (2.50),50,N/A,N/A,20.10%,99,2.78%,93
MOS,The Mosaic Company,STOCK,59.26,1.31x,40,1.70x,94,43.15x,99,3.78%,76,18.74%,29,5.54x,96,9.50x,97,0.30%,34,95.24%,99,13.62x,82,1.64x,29,0.61x,97,4.49%,18,Hold (2.60),45,4.82%,5,5.60%,54,7.66%,59
MPC,Marathon Petroleum Corporation,STOCK,44.52,1.26x,33,2.37x,90,142.65x,30,1.59%,26,7.11%,2,11.62x,7,11.98x,33,0.32%,34,77.24%,94,18.63x,9,0.96x,91,4.19x,15,3.04%,12,Buy (2.11),68,24.19%,99,-1.20%,14,2.49%,94
MPWR,"Monolithic Power Systems, Inc.",STOCK,55.64,4.79x,100,3.36x,78,N/A,N/A,0.51%,9,28.92%,58,89.37x,0,61.00x,1,3.86%,54,101.58%,99,113.67x,0,2.66x,0,21.84x,82,22.98%,92,Strong Buy (1.44),89,19.57%,94,26.10%,100,4.34%,87
MRK,"Merck & Co., Inc.",STOCK,56.25,N/A,N/A,2.82x,85,95.96x,75,3.11%,67,30.73%,99,15.50x,71,11.52x,95,0.06%,33,81.38%,96,31.51x,13,3.34x,0,5.28x,3,13.59%,54,Buy (1.83),79,N/A,N/A,4.90%,49,1.11%,97
MRNA,"Moderna, Inc.",STOCK,43.92,3.29x,100,9.78x,1,15.09x,84,N/A,N/A,-147.07%,0,-4.70x,100,-9.59x,100,7.32%,74,76.90%,93,N/A,N/A,N/A,N/A,2.07x,80,-145.16%,0,Hold (2.91),31,-28.87%,0,-29.80%,0,18.33%,1
MRSH,"Marsh & McLennan Companies, Inc.",STOCK,58.32,1.11x,20,1.89x,93,151.63x,24,2.15%,40,27.74%,91,13.25x,84,14.69x,92,0.12%,33,92.31%,98,20.77x,1,1.64x,29,5.50x,0,14.26%,57,Buy (2.48),51,27.57%,100,7.60%,68,1.24%,96
MRVL,"Marvell Technology, Inc.",STOCK,66.39,2.01x,95,1.16x,96,33.48x,96,0.15%,6,32.09%,75,55.66x,2,30.41x,71,0.40%,34,83.79%,96,53.73x,13,1.94x,12,9.77x,95,32.58%,100,Strong Buy (1.49),88,19.25%,93,22.10%,99,3.90%,89
MS,Morgan Stanley,STOCK,55.25,N/A,N/A,0.00x,99,455.75x,0,2.10%,38,0.00%,0,N/A,N/A,15.02x,91,24.27%,65,62.92%,78,17.21x,9,2.29x,3,2.95x,16,24.75%,99,Buy (2.32),59,N/A,N/A,16.30%,97,0.00%,98
MSCI,MSCI Inc.,STOCK,57.15,0.86x,7,2.45x,89,N/A,N/A,1.39%,21,58.62%,100,25.83x,4,26.21x,49,3.58%,52,95.11%,99,33.67x,0,1.90x,14,-15.47x,100,40.74%,100,Buy (1.65),84,N/A,N/A,14.10%,94,1.91%,95
MSFT,Microsoft Corporation,STOCK,85.57,1.28x,36,2.53x,88,30.27x,95,0.89%,13,57.96%,100,16.94x,93,21.50x,93,0.08%,33,75.93%,93,24.67x,95,1.29x,62,7.88x,96,39.34%,100,Strong Buy (1.28),92,34.01%,100,18.30%,98,1.12%,97
MSI,"Motorola Solutions, Inc.",STOCK,67.64,1.04x,14,2.53x,88,402.39x,0,1.10%,16,30.16%,65,22.94x,83,23.88x,90,0.40%,34,88.09%,98,34.24x,80,2.40x,2,29.97x,64,18.44%,74,Buy (1.64),84,104.20%,100,12.30%,90,1.72%,96
MSTR,Strategy Inc,STOCK,50.20,5.62x,100,2.04x,92,16.16x,85,N/A,N/A,0.00%,0,-13.23x,100,4.87x,100,0.21%,33,56.80%,66,N/A,N/A,2.85x,0,1.25x,98,0.00%,0,Strong Buy (1.27),92,-11.11%,0,1.90%,29,11.39%,21
MTB,M&T Bank Corporation,STOCK,64.37,N/A,N/A,5.22x,40,N/A,N/A,2.77%,58,0.00%,0,N/A,N/A,10.37x,96,0.33%,34,93.96%,99,12.15x,80,1.37x,54,1.25x,91,31.48%,100,Hold (2.52),49,10.29%,54,5.70%,55,4.71%,85
MTD,Mettler-Toledo International Inc.,STOCK,52.09,1.14x,22,4.23x,62,N/A,N/A,N/A,N/A,30.10%,99,23.07x,3,24.75x,57,0.43%,35,103.28%,99,30.17x,18,2.71x,0,-1091.36x,100,21.59%,86,Buy (2.07),70,N/A,N/A,8.10%,71,3.67%,90
MU,"Micron Technology, Inc.",STOCK,90.70,2.90x,100,0.69x,98,14.90x,84,0.11%,6,63.32%,100,16.51x,94,5.34x,100,0.26%,34,83.19%,96,25.58x,95,0.30x,80,8.44x,96,41.49%,100,Strong Buy (1.43),89,39.82%,100,196.30%,100,3.23%,92
NCLH,Norwegian Cruise Line Holdings Ltd.,STOCK,66.61,0.21x,0,2.82x,85,703.03x,0,N/A,N/A,25.91%,85,9.38x,96,7.62x,98,0.43%,35,88.87%,98,20.45x,88,0.44x,91,3.88x,22,4.31%,17,Buy (2.00),73,23.29%,99,6.40%,60,16.08%,3
NDAQ,"Nasdaq, Inc.",STOCK,62.68,1.00x,12,2.56x,88,79.06x,89,1.23%,18,59.35%,100,18.86x,37,20.64x,76,10.90%,92,87.09%,97,27.51x,0,2.32x,3,4.29x,1,35.28%,100,Buy (1.71),83,16.20%,97,13.70%,93,1.68%,96
NDSN,Nordson Corporation,STOCK,64.73,2.72x,100,3.11x,82,66.99x,96,1.16%,17,31.94%,97,19.54x,31,22.87x,66,5.58%,64,78.11%,94,30.68x,58,1.94x,12,5.08x,4,18.39%,74,N/A,N/A,17.47%,88,8.80%,75,2.18%,95
NEE,"NextEra Energy, Inc.",STOCK,57.27,0.54x,1,0.03x,99,156.69x,78,2.57%,52,50.81%,100,22.32x,1,22.09x,69,0.12%,33,84.66%,97,24.61x,79,2.16x,5,3.66x,27,29.37%,100,Buy (1.92),76,10.32%,30,7.30%,66,0.01%,98
NEM,Newmont Corporation,STOCK,78.60,2.44x,99,1.67x,94,15.76x,85,0.96%,5,65.44%,100,6.91x,91,9.58x,97,0.25%,34,82.26%,96,14.09x,79,2.78x,0,3.34x,38,33.87%,100,Buy (1.62),85,25.83%,99,45.80%,100,2.03%,95
NFLX,"Netflix, Inc.",STOCK,70.47,1.41x,51,2.14x,91,53.79x,100,N/A,N/A,30.47%,96,27.45x,2,23.97x,61,0.58%,35,84.28%,97,29.70x,62,1.37x,54,14.60x,0,28.52%,100,Buy (1.70),83,48.49%,100,16.20%,96,1.86%,95
NI,NiSource Inc.,STOCK,62.99,0.69x,3,3.43x,77,139.28x,89,2.49%,50,43.47%,98,14.32x,60,21.53x,72,0.39%,34,98.52%,99,24.66x,79,2.75x,0,2.43x,70,13.99%,56,Buy (1.60),85,9.07%,21,19.80%,99,2.94%,93
NKE,"NIKE, Inc.",STOCK,55.05,2.14x,97,2.09x,92,79.33x,89,3.69%,80,8.31%,3,17.82x,47,24.05x,60,1.47%,40,82.23%,96,29.21x,63,1.37x,54,4.66x,8,4.84%,19,Buy (2.24),63,16.02%,80,0.10%,19,5.93%,76
NOC,Northrop Grumman Corporation,STOCK,59.65,1.15x,23,2.30x,90,102.68x,68,1.63%,26,17.25%,31,13.16x,85,18.80x,82,0.22%,34,83.36%,96,17.83x,92,4.30x,0,4.71x,7,10.80%,43,Buy (2.12),68,28.51%,100,4.40%,46,1.20%,96
NOW,"ServiceNow, Inc.",STOCK,70.57,0.84x,6,2.00x,92,20.73x,89,N/A,N/A,20.69%,17,31.60x,54,18.22x,96,0.20%,33,90.53%,98,54.26x,12,0.86x,97,8.02x,96,12.59%,50,Strong Buy (1.44),89,16.07%,80,22.10%,99,3.78%,89
NRG,"NRG Energy, Inc.",STOCK,61.16,1.64x,76,2.10x,92,989.05x,0,1.24%,18,9.66%,0,15.34x,45,13.47x,93,4.43%,57,86.62%,97,38.34x,27,1.38x,53,28.32x,0,2.81%,11,Buy (1.65),84,41.55%,100,13.70%,93,3.14%,92
NSC,Norfolk Southern Corporation,STOCK,51.12,0.91x,8,6.24x,21,111.59x,59,1.71%,28,45.85%,100,15.62x,68,23.44x,63,0.08%,33,78.43%,94,26.59x,73,4.70x,0,4.49x,10,21.91%,88,Hold (2.57),47,17.61%,88,0.20%,20,3.85%,89
NTAP,"NetApp, Inc.",STOCK,64.55,1.39x,49,8.51x,3,236.10x,1,1.86%,32,26.10%,42,12.47x,97,13.14x,99,0.52%,35,103.06%,99,18.81x,98,1.26x,65,19.17x,87,18.07%,72,Buy (2.40),55,112.59%,100,4.40%,46,11.45%,21
NTRS,Northern Trust Corporation,STOCK,62.94,N/A,N/A,2.62x,87,N/A,N/A,1.95%,34,0.00%,0,N/A,N/A,13.95x,93,0.86%,37,86.51%,97,17.22x,9,1.38x,53,2.52x,35,22.36%,89,Hold (2.93),30,14.46%,93,13.90%,93,1.61%,96
NUE,Nucor Corporation,STOCK,57.75,2.90x,100,3.13x,81,31.59x,95,0.99%,5,14.50%,13,11.60x,33,14.44x,92,3.20%,50,78.85%,94,22.42x,13,5.21x,0,2.46x,69,6.82%,27,Buy (1.80),80,12.29%,48,21.30%,99,2.56%,94
NVDA,NVIDIA Corporation,STOCK,84.56,3.90x,100,1.68x,94,7.25x,78,0.02%,5,61.70%,100,35.80x,36,17.66x,97,4.21%,56,68.08%,86,40.42x,59,0.63x,99,30.66x,62,55.60%,100,Strong Buy (1.30),91,101.48%,100,73.20%,100,1.22%,96
NVR,"NVR, Inc.",STOCK,59.44,5.19x,100,3.88x,69,30.05x,95,N/A,N/A,16.78%,28,9.75x,95,14.66x,92,5.40%,63,89.84%,98,15.04x,95,4.97x,0,4.46x,10,12.49%,50,Hold (2.71),40,33.26%,100,-21.40%,0,5.07%,83
NWS,News Corporation,STOCK,39.61,1.81x,88,5.19x,40,30.89x,95,0.66%,10,13.76%,14,15.52x,68,24.29x,59,34.35%,15,48.99%,48,39.49x,24,3.53x,0,1.93x,83,13.35%,53,N/A,N/A,6.33%,8,5.50%,54,16.95%,2
NWSA,News Corporation,STOCK,53.51,1.81x,88,3.13x,81,30.89x,95,0.76%,11,13.76%,14,13.57x,82,20.96x,74,0.07%,33,110.08%,100,34.08x,43,3.07x,0,1.66x,88,13.35%,53,N/A,N/A,6.33%,8,5.50%,54,4.38%,87
NXPI,NXP Semiconductors N.V.,STOCK,87.93,2.24x,98,3.23x,80,103.99x,67,1.37%,21,37.95%,92,17.32x,93,17.19x,97,0.12%,33,98.94%,99,28.25x,92,0.75x,100,7.42x,96,21.03%,84,Buy (1.72),82,25.81%,99,12.20%,89,3.77%,89
O,Realty Income Corporation,STOCK,46.32,1.25x,32,5.26x,39,73.50x,93,5.07%,95,88.73%,100,17.45x,50,35.09x,13,0.12%,33,80.02%,95,54.54x,0,5.68x,0,1.51x,81,18.37%,73,Hold (2.58),46,2.70%,2,11.00%,85,3.76%,90
ODFL,"Old Dominion Freight Line, Inc.",STOCK,40.92,1.56x,69,5.55x,33,0.91x,72,0.56%,9,31.29%,97,24.96x,5,33.20x,18,8.21%,79,83.69%,96,42.88x,15,2.93x,0,9.74x,0,18.46%,74,Hold (2.60),45,23.33%,99,-2.90%,9,6.84%,68
OKE,"ONEOK, Inc.",STOCK,46.43,0.71x,3,4.82x,48,149.64x,25,4.63%,92,21.32%,60,12.06x,5,14.70x,6,0.19%,33,80.92%,95,16.11x,26,2.33x,2,2.53x,67,10.03%,40,Buy (2.04),71,15.90%,79,19.60%,99,4.63%,85
OMC,Omnicom Group Inc.,STOCK,51.38,0.91x,8,6.05x,24,110.57x,60,4.16%,88,15.92%,23,9.55x,96,6.18x,98,0.88%,37,111.72%,100,N/A,N/A,15.97x,0,2.00x,81,0.32%,1,Buy (2.09),69,2.02%,2,69.20%,100,10.57%,28
ON,ON Semiconductor Corporation,STOCK,50.78,4.52x,100,4.20x,62,42.29x,99,N/A,N/A,29.28%,60,23.54x,82,25.39x,87,0.33%,34,111.16%,100,355.28x,0,0.38x,87,5.33x,97,2.02%,8,Buy (2.35),57,1.50%,1,-11.20%,1,10.46%,29
ORCL,Oracle Corporation,STOCK,79.61,1.35x,44,1.14x,96,415.26x,0,1.16%,17,42.83%,97,22.69x,84,21.39x,94,40.55%,4,44.21%,36,30.85x,88,1.02x,87,14.73x,92,25.30%,100,Buy (1.61),85,57.57%,100,21.70%,99,1.71%,96
ORLY,"O'Reilly Automotive, Inc.",STOCK,54.02,0.77x,4,3.09x,82,N/A,N/A,N/A,N/A,22.34%,67,21.45x,18,26.79x,46,0.50%,35,89.07%,98,31.49x,54,2.30x,3,-106.58x,100,14.27%,57,Buy (1.63),85,N/A,N/A,7.80%,70,2.02%,95
OTIS,Otis Worldwide Corporation,STOCK,63.21,0.84x,6,3.07x,82,N/A,N/A,2.21%,42,17.02%,29,14.92x,73,16.34x,88,0.13%,33,94.14%,99,20.50x,88,1.48x,43,-5.57x,100,10.11%,40,Buy (2.44),53,N/A,N/A,6.40%,60,3.36%,91
